date,XRP
2022-07-17,22
2022-07-24,18
2022-07-31,17
2022-08-07,15
2022-08-14,16
2022-08-21,17
2022-08-28,15
2022-09-04,15
2022-09-11,18
2022-09-18,54
2022-09-25,39
2022-10-02,32
2022-10-09,30
2022-10-16,24
2022-10-23,25
2022-10-30,29
2022-11-06,31
2022-11-13,32
2022-11-20,23
2022-11-27,25
2022-12-04,23
2022-12-11,25
2022-12-18,20
2022-12-25,20
2023-01-01,21
2023-01-08,24
2023-01-15,24
2023-01-22,25
2023-01-29,23
2023-02-05,21
2023-02-12,21
2023-02-19,20
2023-02-26,16
2023-03-05,23
2023-03-12,25
2023-03-19,51
2023-03-26,67
2023-04-02,43
2023-04-09,38
2023-04-16,33
2023-04-23,30
2023-04-30,25
2023-05-07,23
2023-05-14,26
2023-05-21,28
2023-05-28,38
2023-06-04,41
2023-06-11,45
2023-06-18,39
2023-06-25,33
2023-07-02,30
2023-07-09,100
